,lat_coastalsouth,lon_coastalsouth
2639,38.34375,-122.71875
2640,38.34375,-122.65625
2641,38.34375,-122.59375
2642,38.34375,-122.53125
2643,38.34375,-122.46875
2644,38.34375,-122.40625
2645,38.34375,-122.34375
2646,38.34375,-122.28125
2647,38.34375,-122.21875
2648,38.34375,-122.15625
2649,38.34375,-122.09375
2650,38.34375,-122.03125
2651,38.34375,-121.96875
2652,38.34375,-121.90625
2653,38.34375,-121.84375
2654,38.34375,-121.78125
2655,38.34375,-121.71875
2656,38.34375,-121.46875
2657,38.34375,-121.40625
2658,38.34375,-121.34375
2659,38.34375,-121.28125
2660,38.34375,-121.21875
2661,38.34375,-121.15625
2662,38.34375,-121.09375
2663,38.34375,-121.03125
2664,38.34375,-120.96875
2665,38.34375,-120.90625
2666,38.34375,-120.84375
2667,38.34375,-120.78125
2668,38.34375,-120.71875
2669,38.34375,-120.65625
2670,38.34375,-120.59375
2671,38.34375,-120.53125
2672,38.34375,-120.46875
2673,38.34375,-120.40625
2674,38.40625,-123.09375
2675,38.40625,-123.03125
2676,38.40625,-122.96875
2677,38.40625,-122.90625
2678,38.40625,-122.84375
2679,38.40625,-122.78125
2680,38.40625,-122.71875
2681,38.40625,-122.65625
2682,38.40625,-122.59375
2683,38.40625,-122.53125
2684,38.40625,-122.46875
2685,38.40625,-122.40625
2686,38.40625,-122.34375
2687,38.40625,-122.28125
2688,38.40625,-122.21875
2689,38.40625,-122.15625
2690,38.40625,-122.09375
2691,38.40625,-122.03125
2692,38.40625,-121.96875
2693,38.40625,-121.90625
2694,38.40625,-121.84375
2695,38.40625,-121.78125
2696,38.40625,-121.71875
2697,38.40625,-121.65625
2698,38.40625,-121.53125
2699,38.40625,-121.46875
2700,38.40625,-121.40625
2701,38.40625,-121.34375
2702,38.40625,-121.28125
2703,38.40625,-121.21875
2704,38.40625,-121.15625
2705,38.40625,-121.09375
2706,38.40625,-121.03125
2707,38.40625,-120.96875
2708,38.40625,-120.90625
2709,38.40625,-120.84375
2710,38.40625,-120.78125
2711,38.40625,-120.71875
2712,38.40625,-120.65625
2713,38.40625,-120.59375
2714,38.40625,-120.53125
2715,38.40625,-120.46875
2716,38.40625,-120.40625
2717,38.46875,-123.09375
2718,38.46875,-123.03125
2719,38.46875,-122.96875
2720,38.46875,-122.90625
2721,38.46875,-122.84375
2722,38.46875,-122.78125
2723,38.46875,-122.71875
2724,38.46875,-122.65625
2725,38.46875,-122.59375
2726,38.46875,-122.53125
2727,38.46875,-122.46875
2728,38.46875,-122.40625
2729,38.46875,-122.34375
2730,38.46875,-122.28125
2731,38.46875,-122.21875
2732,38.46875,-122.15625
2733,38.46875,-122.09375
2734,38.46875,-122.03125
2735,38.46875,-121.96875
2736,38.46875,-121.90625
2737,38.46875,-121.84375
2738,38.46875,-121.78125
2739,38.46875,-121.71875
2740,38.46875,-121.65625
2741,38.46875,-121.59375
2742,38.46875,-121.53125
2743,38.46875,-121.46875
2744,38.46875,-121.40625
2745,38.46875,-121.34375
2746,38.46875,-121.28125
2747,38.46875,-121.21875
2748,38.46875,-121.15625
2749,38.46875,-121.09375
2750,38.46875,-121.03125
2751,38.46875,-120.96875
2752,38.46875,-120.90625
2753,38.46875,-120.84375
2754,38.46875,-120.78125
2755,38.46875,-120.71875
2756,38.46875,-120.65625
2757,38.46875,-120.59375
2758,38.46875,-120.53125
2759,38.46875,-120.46875
2760,38.46875,-120.40625
2761,38.46875,-120.34375
2762,38.53125,-123.28125
2763,38.53125,-123.21875
2764,38.53125,-123.15625
2765,38.53125,-123.09375
2766,38.53125,-123.03125
2767,38.53125,-122.96875
2768,38.53125,-122.90625
2769,38.53125,-122.84375
2770,38.53125,-122.78125
2771,38.53125,-122.71875
2772,38.53125,-122.65625
2773,38.53125,-122.59375
2774,38.53125,-122.53125
2775,38.53125,-122.46875
2776,38.53125,-122.40625
2777,38.53125,-122.34375
2778,38.53125,-122.28125
2779,38.53125,-122.21875
2780,38.53125,-122.15625
2781,38.53125,-122.09375
2782,38.53125,-122.03125
2783,38.53125,-121.96875
2784,38.53125,-121.90625
2785,38.53125,-121.84375
2786,38.53125,-121.78125
2787,38.53125,-121.71875
2788,38.53125,-121.65625
2789,38.53125,-121.59375
2790,38.53125,-121.53125
2791,38.53125,-121.46875
2792,38.53125,-121.40625
2793,38.53125,-121.34375
2794,38.53125,-121.28125
2795,38.53125,-121.21875
2796,38.53125,-121.15625
2797,38.53125,-121.09375
2798,38.53125,-121.03125
2799,38.53125,-120.96875
2800,38.53125,-120.90625
2801,38.53125,-120.84375
2802,38.53125,-120.78125
2803,38.53125,-120.71875
2804,38.53125,-120.65625
2805,38.53125,-120.59375
2806,38.53125,-120.53125
2807,38.53125,-120.46875
2808,38.59375,-123.34375
2809,38.59375,-123.28125
2810,38.59375,-123.21875
2811,38.59375,-123.15625
2812,38.59375,-123.09375
2813,38.59375,-123.03125
2814,38.59375,-122.96875
2815,38.59375,-122.90625
2816,38.59375,-122.84375
2817,38.59375,-122.78125
2818,38.59375,-122.71875
2819,38.59375,-122.65625
2820,38.59375,-122.59375
2821,38.59375,-122.53125
2822,38.59375,-122.46875
2823,38.59375,-122.40625
2824,38.59375,-122.34375
2825,38.59375,-122.28125
2826,38.59375,-122.21875
2827,38.59375,-122.15625
2828,38.59375,-122.09375
2829,38.59375,-122.03125
2830,38.59375,-121.96875
2831,38.59375,-121.90625
2832,38.59375,-121.84375
2833,38.59375,-121.78125
2834,38.59375,-121.71875
2835,38.59375,-121.65625
2836,38.59375,-121.59375
2837,38.59375,-121.53125
2838,38.59375,-121.46875
2839,38.59375,-121.40625
2840,38.59375,-121.34375
2841,38.59375,-121.28125
2842,38.59375,-121.21875
2843,38.59375,-121.15625
2844,38.59375,-121.09375
2845,38.59375,-121.03125
2846,38.59375,-120.96875
2847,38.59375,-120.90625
2848,38.59375,-120.84375
2849,38.59375,-120.78125
2850,38.59375,-120.71875
2851,38.59375,-120.65625
2852,38.59375,-120.59375
2853,38.59375,-120.53125
2854,38.59375,-120.46875
2855,38.65625,-123.34375
2856,38.65625,-123.28125
2857,38.65625,-123.21875
2858,38.65625,-123.15625
2859,38.65625,-123.09375
2860,38.65625,-123.03125
2861,38.65625,-122.96875
2862,38.65625,-122.90625
2863,38.65625,-122.84375
2864,38.65625,-122.78125
2865,38.65625,-122.71875
2866,38.65625,-122.65625
2867,38.65625,-122.59375
2868,38.65625,-122.53125
2869,38.65625,-122.46875
2870,38.65625,-122.40625
2871,38.65625,-122.34375
2872,38.65625,-122.28125
2873,38.65625,-122.21875
2874,38.65625,-122.15625
2875,38.65625,-122.09375
2876,38.65625,-122.03125
2877,38.65625,-121.96875
2878,38.65625,-121.90625
2879,38.65625,-121.84375
2880,38.65625,-121.78125
2881,38.65625,-121.71875
2882,38.65625,-121.65625
2883,38.65625,-121.59375
2884,38.65625,-121.53125
2885,38.65625,-121.46875
2886,38.65625,-121.40625
2887,38.65625,-121.34375
2888,38.65625,-121.28125
2889,38.65625,-121.21875
2890,38.65625,-121.15625
2891,38.65625,-121.09375
2892,38.65625,-121.03125
2893,38.65625,-120.96875
2894,38.65625,-120.90625
2895,38.65625,-120.84375
2896,38.65625,-120.78125
2897,38.65625,-120.71875
2898,38.65625,-120.65625
2899,38.65625,-120.59375
2900,38.65625,-120.53125
2901,38.65625,-119.53125
2902,38.71875,-123.34375
2903,38.71875,-123.28125
2904,38.71875,-123.21875
2905,38.71875,-123.15625
2906,38.71875,-123.09375
2907,38.71875,-123.03125
2908,38.71875,-122.96875
2909,38.71875,-122.90625
2910,38.71875,-122.84375
2911,38.71875,-122.78125
2912,38.71875,-122.71875
2913,38.71875,-122.65625
2914,38.71875,-122.59375
2915,38.71875,-122.53125
2916,38.71875,-122.46875
2917,38.71875,-122.40625
2918,38.71875,-122.34375
2919,38.71875,-122.28125
2920,38.71875,-122.21875
2921,38.71875,-122.15625
2922,38.71875,-122.09375
2923,38.71875,-122.03125
2924,38.71875,-121.96875
2925,38.71875,-121.90625
2926,38.71875,-121.84375
2927,38.71875,-121.78125
2928,38.71875,-121.71875
2929,38.71875,-121.65625
2930,38.71875,-121.59375
2931,38.71875,-121.53125
2932,38.71875,-121.46875
2933,38.71875,-121.40625
2934,38.71875,-121.34375
2935,38.71875,-121.28125
2936,38.71875,-121.21875
2937,38.71875,-121.15625
2938,38.71875,-121.09375
2939,38.71875,-121.03125
2940,38.71875,-120.96875
2941,38.71875,-120.90625
2942,38.71875,-120.84375
2943,38.71875,-120.78125
2944,38.71875,-120.71875
2945,38.71875,-120.65625
2946,38.71875,-120.59375
2947,38.71875,-120.53125
